13-12-2020-00:13:50
HMR(Hsim(ItemKNNCF, ItemKNNCB),Hsim(UserKNNCF, UserKNNCB),Hsim(SLIM_MSE, SLIM_BPR),P3alpha,PureSVD,IALS)
|iter:    76/2500 | vec: [0.46226059 0.09866503 0.05536885 0.03668445 0.02450175 0.32251933] | norm: l2 | MAP: 0.0726 |
|iter:     0/2500 | vec: [2.22110132e-01 5.24449717e-01 4.70811414e-05 1.48186834e-01
 6.53273311e-02 3.98789043e-02] | norm: l2 | MAP: 0.0671 |
|iter:     1/2500 | vec: [0.05711568 0.11748658 0.14006412 0.21446918 0.1505628  0.32030163] | norm: l2 | MAP: 0.0636 |
|iter:     2/2500 | vec: [0.04736113 0.43581198 0.00575015 0.22986028 0.11183468 0.16938179] | norm: l2 | MAP: 0.0643 |
|iter:     3/2500 | vec: [0.02164077 0.03158332 0.23077617 0.4935818  0.05379524 0.16862269] | norm: l2 | MAP: 0.0615 |
|iter:     4/2500 | vec: [0.30924372 0.3328279  0.01314705 0.00589281 0.02753162 0.3113569 ] | norm: l2 | MAP: 0.0704 |
|iter:     5/2500 | vec: [0.01687249 0.08909079 0.51623019 0.12415436 0.19186844 0.06178373] | norm: l2 | MAP: 0.0596 |
|iter:     6/2500 | vec: [0.11326477 0.17571736 0.0018023  0.1354218  0.4391422  0.13465157] | norm: l2 | MAP: 0.0585 |
|iter:     7/2500 | vec: [0.06175615 0.29219663 0.02044361 0.11146067 0.44892057 0.06522237] | norm: l2 | MAP: 0.0576 |
|iter:     8/2500 | vec: [0.1556399  0.06388415 0.00896931 0.52090735 0.10905435 0.14154494] | norm: l2 | MAP: 0.0653 |
|iter:     9/2500 | vec: [0.17631004 0.01429361 0.22248566 0.04135873 0.23195069 0.31360127] | norm: l2 | MAP: 0.0644 |
|iter:    10/2500 | vec: [0.03393188 0.16800695 0.3726045  0.16807309 0.01610645 0.24127713] | norm: l2 | MAP: 0.0623 |
|iter:    11/2500 | vec: [0.1349918  0.0895845  0.35828472 0.10938101 0.28944289 0.01831508] | norm: l2 | MAP: 0.0617 |
|iter:    12/2500 | vec: [0.02709001 0.29750152 0.09156834 0.03264704 0.47400398 0.07718911] | norm: l2 | MAP: 0.0561 |
|iter:    13/2500 | vec: [0.18214446 0.16970109 0.28159004 0.12810555 0.18221303 0.05624582] | norm: l2 | MAP: 0.0650 |
|iter:    14/2500 | vec: [0.03682021 0.26476198 0.0653956  0.39181106 0.12744777 0.11376338] | norm: l2 | MAP: 0.0626 |
|iter:    15/2500 | vec: [0.02272276 0.55661321 0.11142768 0.16101859 0.09778114 0.05043662] | norm: l2 | MAP: 0.0627 |
|iter:    16/2500 | vec: [0.44120586 0.16095929 0.00054268 0.18126128 0.07466488 0.141366  ] | norm: l2 | MAP: 0.0719 |
|iter:    17/2500 | vec: [0.25103053 0.05111035 0.27655522 0.11290519 0.00184398 0.30655473] | norm: l2 | MAP: 0.0689 |
|iter:    18/2500 | vec: [0.10367889 0.52303939 0.01670347 0.01302502 0.23816631 0.10538692] | norm: l2 | MAP: 0.0621 |
|iter:    19/2500 | vec: [0.01001349 0.20654795 0.20559934 0.37606405 0.18231418 0.01946097] | norm: l2 | MAP: 0.0606 |
|iter:    20/2500 | vec: [0.0064811  0.00857264 0.00926793 0.09122509 0.63464196 0.24981129] | norm: l2 | MAP: 0.0509 |
|iter:    21/2500 | vec: [0.10752736 0.24655392 0.01771466 0.04373931 0.11774962 0.46671513] | norm: l2 | MAP: 0.0658 |
|iter:    22/2500 | vec: [0.16953413 0.00387599 0.33205831 0.0546156  0.3388543  0.10106166] | norm: l2 | MAP: 0.0618 |
|iter:    23/2500 | vec: [0.44095086 0.3043774  0.17987321 0.03248003 0.01367921 0.02863928] | norm: l2 | MAP: 0.0697 |
|iter:    24/2500 | vec: [0.01825685 0.04555607 0.10247432 0.50003139 0.32861971 0.00506165] | norm: l2 | MAP: 0.0593 |
|iter:    25/2500 | vec: [0.01202082 0.55032647 0.13511103 0.03657441 0.04679659 0.21917067] | norm: l2 | MAP: 0.0623 |
|iter:    26/2500 | vec: [0.02927939 0.11724611 0.47225095 0.2526319  0.0369262  0.09166544] | norm: l2 | MAP: 0.0614 |
|iter:    27/2500 | vec: [0.26422439 0.4823056  0.04657631 0.00512105 0.01982624 0.18194643] | norm: l2 | MAP: 0.0684 |
|iter:    28/2500 | vec: [0.11687999 0.10547857 0.04786719 0.5611247  0.10868712 0.05996244] | norm: l2 | MAP: 0.0641 |
|iter:    29/2500 | vec: [0.19463899 0.33252851 0.26896384 0.07482364 0.01668652 0.1123585 ] | norm: l2 | MAP: 0.0658 |
|iter:    30/2500 | vec: [0.21454442 0.05095192 0.30176437 0.01486892 0.06511576 0.35275461] | norm: l2 | MAP: 0.0675 |
|iter:    31/2500 | vec: [0.04351275 0.20649282 0.15054415 0.52378673 0.06185144 0.01381211] | norm: l2 | MAP: 0.0625 |
|iter:    32/2500 | vec: [0.16277145 0.18126527 0.29213977 0.32937705 0.00172171 0.03272475] | norm: l2 | MAP: 0.0653 |
|iter:    33/2500 | vec: [0.08528487 0.26464187 0.26668797 0.07232608 0.21982844 0.09123077] | norm: l2 | MAP: 0.0622 |
|iter:    34/2500 | vec: [0.06178385 0.08318281 0.11588174 0.09968026 0.32574298 0.31372837] | norm: l2 | MAP: 0.0594 |
|iter:    35/2500 | vec: [0.10082537 0.66316687 0.03835876 0.02710749 0.02912778 0.14141373] | norm: l2 | MAP: 0.0644 |
|iter:    36/2500 | vec: [0.0040708  0.55299276 0.32834743 0.00283104 0.03626012 0.07549785] | norm: l2 | MAP: 0.0607 |
|iter:    37/2500 | vec: [0.01750889 0.20675876 0.05271279 0.35105488 0.10877646 0.26318821] | norm: l2 | MAP: 0.0620 |
|iter:    38/2500 | vec: [0.24618334 0.31166041 0.08141237 0.10447057 0.21180072 0.04447257] | norm: l2 | MAP: 0.0665 |
|iter:    39/2500 | vec: [0.14278681 0.19369085 0.00331733 0.19073626 0.1204839  0.34898485] | norm: l2 | MAP: 0.0672 |
|iter:    40/2500 | vec: [0.0613169  0.36170381 0.13963894 0.03292634 0.25110628 0.15330773] | norm: l2 | MAP: 0.0613 |
|iter:    41/2500 | vec: [6.92047954e-03 6.80675193e-02 1.41930281e-01 3.13250518e-01
 5.02151705e-05 4.69780987e-01] | norm: l2 | MAP: 0.0621 |
|iter:    42/2500 | vec: [0.05462016 0.42090419 0.10728459 0.20403763 0.09882765 0.11432576] | norm: l2 | MAP: 0.0637 |
|iter:    43/2500 | vec: [0.04693321 0.1233632  0.19349206 0.27273211 0.19634635 0.16713308] | norm: l2 | MAP: 0.0617 |
|iter:    44/2500 | vec: [0.39118525 0.07625758 0.21746308 0.11732381 0.09422922 0.10354106] | norm: l2 | MAP: 0.0706 |
|iter:    45/2500 | vec: [0.07124166 0.05299429 0.13499662 0.07807835 0.50549423 0.15719485] | norm: l2 | MAP: 0.0554 |
|iter:    46/2500 | vec: [0.03049835 0.07665289 0.0579495  0.22012917 0.29212517 0.32264493] | norm: l2 | MAP: 0.0598 |
